Feature	Estimator	Accuracy	Precision	Recall	F1	AUC	Accuracy_best	Precision_best	Recall_best	F1_best	AUC_best
max_hr	logistic	0.7037037037037037	0.7350905569859818	0.598485661770686	0.6471613112135988	0.7459069830154204	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'liblinear'}
exercise_induced_angina	gaussian	0.7104377104377104	0.763782991202346	0.5399843849119211	0.6318363019915126	0.6980722005499448	{}	{}	{}	{}	{}
exercise_induced_angina	logistic	0.7104377104377104	0.763782991202346	0.5399843849119211	0.6318363019915126	0.6980722005499448	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}
st_depression	gaussian	0.6801346801346801	0.7507973897960722	0.4963678654499911	0.5873263931281659	0.7331943074901783	{}	{}	{}	{}	{}
st_depression	logistic	0.6767676767676768	0.7086606808829031	0.5474845069047969	0.6080462747129414	0.7699452949146361	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}
slope	gaussian	0.6868686868686869	0.6394307446939026	0.7370451698954114	0.6842758803687773	0.6850212697264014	{}	{}	{}	{}	{}
slope	logistic	0.6868686868686869	0.6394307446939026	0.7370451698954114	0.6842758803687773	0.6902895717702936	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}
num_major_vessels	gaussian	0.6801346801346801	0.801360005281574	0.4444200458693212	0.5445956373375728	0.7536619908357519	{}	{}	{}	{}	{}
num_major_vessels	logistic	0.7651006711409396	0.7510834844168178	0.6715300068086762	0.7134879678653042	0.7548507075560612	{'penalty': 'l2', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}
thal	gaussian	0.7643097643097643	0.7538617669052451	0.7297597553636201	0.7392225989124188	0.7666684671485205	{}	{}	{}	{}	{}
thal	logistic	0.7643097643097643	0.7538617669052451	0.7297597553636201	0.7644174311600135	0.7948639253741356	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'lbfgs'}	{'penalty': 'l2', 'solver': 'liblinear'}
