Feature,Estimator,Accuracy,Accuracy_best
age : chest_pain : cholesterol : max_hr : exercise_induced_angina : st_depression,svc,0.7709195402298852,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : cholesterol : max_hr : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.8179310344827586,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : cholesterol : max_hr : exercise_induced_angina : st_depression : num_major_vessels : thal,logistic,0.84816091954023,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : cholesterol : max_hr : exercise_induced_angina : st_depression : thal,gaussian,0.8182758620689656,{}
age : chest_pain : cholesterol : max_hr : exercise_induced_angina : thal,logistic,0.8318390804597702,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : cholesterol : max_hr : num_major_vessels,svc,0.7981609195402298,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : cholesterol : max_hr : num_major_vessels : thal,logistic,0.824712643678161,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : cholesterol : max_hr : st_depression,svc,0.7640229885057472,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : cholesterol : max_hr : st_depression : num_major_vessels,knn,0.7981609195402298,"{'n_neighbors': 60, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : chest_pain : cholesterol : max_hr : st_depression : num_major_vessels : thal,logistic,0.831264367816092,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : cholesterol : max_hr : st_depression : thal,svc,0.8047126436781611,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : cholesterol : max_hr : thal,logistic,0.801264367816092,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : cholesterol : num_major_vessels,knn,0.781264367816092,"{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : chest_pain : cholesterol : num_major_vessels : thal,svc,0.8111494252873565,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : cholesterol : st_depression,gaussian,0.7540229885057472,{}
age : chest_pain : cholesterol : st_depression : num_major_vessels,logistic,0.7845977011494253,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : cholesterol : st_depression : num_major_vessels : thal,logistic,0.8245977011494254,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : cholesterol : st_depression : thal,logistic,0.811264367816092,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : cholesterol : thal,logistic,0.7841379310344828,"{'penalty': 'l2', 'solver': 'liblinear'}"
age : chest_pain : exercise_induced_angina,svc,0.7606896551724138,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : exercise_induced_angina : num_major_vessels,logistic,0.7879310344827586,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : exercise_induced_angina : num_major_vessels : thal,knn,0.8419540229885059,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : exercise_induced_angina : st_depression,svc,0.7706896551724138,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.8010344827586208,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : exercise_induced_angina : st_depression : num_major_vessels : thal,logistic,0.8347126436781609,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : exercise_induced_angina : st_depression : thal,gaussian,0.81183908045977,{}
age : chest_pain : exercise_induced_angina : thal,logistic,0.8218390804597702,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : max_hr,gaussian,0.7577011494252873,{}
age : chest_pain : max_hr : exercise_induced_angina,svc,0.7372413793103448,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : max_hr : exercise_induced_angina : num_major_vessels,logistic,0.7947126436781609,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : max_hr : exercise_induced_angina : num_major_vessels : thal,knn,0.8419540229885059,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : chest_pain : max_hr : exercise_induced_angina : st_depression,gaussian,0.7739080459770117,{}
age : chest_pain : max_hr : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.8144827586206895,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : max_hr : exercise_induced_angina : st_depression : num_major_vessels : thal,gaussian,0.8414942528735633,{}
age : chest_pain : max_hr : exercise_induced_angina : st_depression : thal,logistic,0.8214942528735631,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : max_hr : exercise_induced_angina : thal,logistic,0.8248275862068966,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : max_hr : num_major_vessels,logistic,0.7975862068965517,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : max_hr : num_major_vessels : thal,logistic,0.8316091954022988,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : max_hr : st_depression,logistic,0.7641379310344827,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : max_hr : st_depression : num_major_vessels,logistic,0.797816091954023,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : max_hr : st_depression : num_major_vessels : thal,logistic,0.8347126436781609,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : max_hr : st_depression : thal,logistic,0.8043678160919541,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : max_hr : thal,gaussian,0.801264367816092,{}
age : chest_pain : num_major_vessels,knn,0.7645977011494254,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : num_major_vessels : thal,knn,0.8180459770114943,"{'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : resting_bp,svc,0.7506896551724138,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.0001, 'probability': True}"
age : chest_pain : resting_bp : cholesterol,svc,0.7473563218390804,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : exercise_induced_angina,svc,0.7642528735632184,"{'C': 100, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : exercise_induced_angina : num_major_vessels,svc,0.7948275862068966,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : exercise_induced_angina : num_major_vessels : thal,logistic,0.8283908045977013,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : cholesterol : exercise_induced_angina : st_depression,svc,0.7775862068965518,"{'C': 100, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.8078160919540232,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : cholesterol : exercise_induced_angina : st_depression : num_major_vessels : thal,logistic,0.8279310344827587,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : cholesterol : exercise_induced_angina : st_depression : thal,gaussian,0.8117241379310345,{}
age : chest_pain : resting_bp : cholesterol : exercise_induced_angina : thal,logistic,0.8150574712643678,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : cholesterol : max_hr,gaussian,0.7406896551724138,{}
age : chest_pain : resting_bp : cholesterol : max_hr : exercise_induced_angina,svc,0.7472413793103448,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : max_hr : exercise_induced_angina : num_major_vessels,logistic,0.8113793103448277,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : cholesterol : max_hr : exercise_induced_angina : num_major_vessels : thal,logistic,0.8314942528735634,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : cholesterol : max_hr : exercise_induced_angina : st_depression,svc,0.7944827586206897,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : max_hr : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.8145977011494253,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : cholesterol : max_hr : exercise_induced_angina : st_depression : thal,gaussian,0.8116091954022988,{}
age : chest_pain : resting_bp : cholesterol : max_hr : exercise_induced_angina : thal,logistic,0.8254022988505747,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : cholesterol : max_hr : num_major_vessels,svc,0.791264367816092,"{'C': 100, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : max_hr : num_major_vessels : thal,logistic,0.8282758620689655,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : cholesterol : max_hr : st_depression,svc,0.7606896551724138,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : max_hr : st_depression : num_major_vessels,logistic,0.7913793103448276,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : cholesterol : max_hr : st_depression : num_major_vessels : thal,logistic,0.8245977011494254,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : cholesterol : max_hr : st_depression : thal,svc,0.801264367816092,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : max_hr : thal,gaussian,0.801264367816092,{}
age : chest_pain : resting_bp : cholesterol : num_major_vessels,random_forest,0.7980459770114943,"{'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': False, 'max_depth': 1}"
age : chest_pain : resting_bp : cholesterol : num_major_vessels : thal,random_forest,0.8114942528735632,"{'max_features': 'auto', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 10}"
age : chest_pain : resting_bp : cholesterol : st_depression,svc,0.7503448275862069,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : resting_bp : cholesterol : st_depression : num_major_vessels,knn,0.794367816091954,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : chest_pain : resting_bp : cholesterol : st_depression : num_major_vessels : thal,logistic,0.8313793103448276,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : cholesterol : st_depression : thal,logistic,0.8044827586206897,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : cholesterol : thal,logistic,0.7910344827586208,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : exercise_induced_angina,svc,0.7573563218390804,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : resting_bp : exercise_induced_angina : num_major_vessels,knn,0.7982758620689656,"{'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : resting_bp : exercise_induced_angina : num_major_vessels : thal,logistic,0.8317241379310346,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : exercise_induced_angina : st_depression,svc,0.7710344827586207,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : resting_bp : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.8079310344827586,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : exercise_induced_angina : st_depression : num_major_vessels : thal,logistic,0.8278160919540231,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : exercise_induced_angina : st_depression : thal,logistic,0.8212643678160919,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : exercise_induced_angina : thal,logistic,0.8116091954022989,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : max_hr,svc,0.7505747126436783,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : max_hr : exercise_induced_angina,svc,0.764022988505747,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : max_hr : exercise_induced_angina : num_major_vessels,logistic,0.7979310344827586,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : max_hr : exercise_induced_angina : num_major_vessels : thal,logistic,0.8382758620689655,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : max_hr : exercise_induced_angina : st_depression,svc,0.7910344827586208,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : max_hr : exercise_induced_angina : st_depression : num_major_vessels,svc,0.8144827586206898,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : resting_bp : max_hr : exercise_induced_angina : st_depression : num_major_vessels : thal,gaussian,0.8449425287356324,{}
age : chest_pain : resting_bp : max_hr : exercise_induced_angina : st_depression : thal,logistic,0.8078160919540232,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : max_hr : exercise_induced_angina : thal,logistic,0.8183908045977013,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : max_hr : num_major_vessels,logistic,0.7905747126436783,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : max_hr : num_major_vessels : thal,logistic,0.8282758620689655,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : max_hr : st_depression,gaussian,0.7540229885057471,{}
age : chest_pain : resting_bp : max_hr : st_depression : num_major_vessels,logistic,0.7979310344827587,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : resting_bp : max_hr : st_depression : num_major_vessels : thal,logistic,0.8347126436781609,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : max_hr : st_depression : thal,logistic,0.8044827586206897,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : max_hr : thal,gaussian,0.8045977011494253,{}
age : chest_pain : resting_bp : num_major_vessels,knn,0.774367816091954,"{'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : chest_pain : resting_bp : num_major_vessels : thal,knn,0.8216091954022989,"{'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : resting_bp : st_depression,gaussian,0.7339080459770114,{}
age : chest_pain : resting_bp : st_depression : num_major_vessels,knn,0.7874712643678161,"{'n_neighbors': 60, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : resting_bp : st_depression : num_major_vessels : thal,logistic,0.8313793103448276,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : st_depression : thal,logistic,0.8078160919540232,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : resting_bp : thal,logistic,0.7908045977011495,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : st_depression,gaussian,0.7542528735632185,{}
age : chest_pain : st_depression : num_major_vessels,logistic,0.791264367816092,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : st_depression : num_major_vessels : thal,logistic,0.8280459770114943,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : st_depression : thal,logistic,0.8145977011494253,"{'penalty': 'l2', 'solver': 'liblinear'}"
age : chest_pain : thal,knn,0.7911494252873564,"{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : cholesterol,logistic,0.6156321839080461,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : cholesterol : exercise_induced_angina,gaussian,0.7037931034482758,{}
age : cholesterol : exercise_induced_angina : num_major_vessels,knn,0.7678160919540231,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : cholesterol : exercise_induced_angina : num_major_vessels : thal,logistic,0.8113793103448277,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : cholesterol : exercise_induced_angina : st_depression,gaussian,0.7374712643678161,{}
age : cholesterol : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.7813793103448277,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : cholesterol : exercise_induced_angina : st_depression : num_major_vessels : thal,logistic,0.8145977011494253,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : cholesterol : exercise_induced_angina : st_depression : thal,logistic,0.7877011494252874,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : cholesterol : exercise_induced_angina : thal,logistic,0.7711494252873564,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : cholesterol : max_hr,knn,0.6941379310344826,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : cholesterol : max_hr : exercise_induced_angina,svc,0.7239080459770115,"{'C': 100, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : cholesterol : max_hr : exercise_induced_angina : num_major_vessels,svc,0.7917241379310344,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : cholesterol : max_hr : exercise_induced_angina : num_major_vessels : thal,logistic,0.8418390804597701,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : cholesterol : max_hr : exercise_induced_angina : st_depression,svc,0.764367816091954,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : cholesterol : max_hr : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.8049425287356321,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : cholesterol : max_hr : exercise_induced_angina : st_depression : num_major_vessels : thal,logistic,0.8347126436781609,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : cholesterol : max_hr : exercise_induced_angina : st_depression : thal,gaussian,0.791264367816092,{}
age : cholesterol : max_hr : exercise_induced_angina : thal,logistic,0.7880459770114943,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : cholesterol : max_hr : num_major_vessels,svc,0.7547126436781609,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : cholesterol : max_hr : num_major_vessels : thal,logistic,0.8114942528735632,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : cholesterol : max_hr : st_depression,svc,0.7442528735632185,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : cholesterol : max_hr : st_depression : num_major_vessels,knn,0.7851724137931034,"{'n_neighbors': 10, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : cholesterol : max_hr : st_depression : num_major_vessels : thal,logistic,0.8248275862068966,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : cholesterol : max_hr : st_depression : thal,svc,0.7975862068965517,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : cholesterol : max_hr : thal,svc,0.7741379310344828,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : cholesterol : num_major_vessels,logistic,0.7477011494252874,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : cholesterol : num_major_vessels : thal,logistic,0.7913793103448276,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : cholesterol : st_depression,svc,0.6968965517241379,"{'C': 100, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : cholesterol : st_depression : num_major_vessels,svc,0.7714942528735632,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : cholesterol : st_depression : num_major_vessels : thal,logistic,0.811264367816092,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : cholesterol : st_depression : thal,gaussian,0.7812643678160921,{}
age : cholesterol : thal,svc,0.7675862068965518,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : ecg,svc,0.6163218390804597,"{'C': 1000, 'shrinking': False, 'degree': 1, 'gamma': 0.0001, 'probability': True}"
age : exercise_induced_angina,svc,0.7104597701149424,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : exercise_induced_angina : num_major_vessels,svc,0.7748275862068966,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.0001, 'probability': True}"
age : exercise_induced_angina : num_major_vessels : thal,logistic,0.8113793103448277,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : exercise_induced_angina : st_depression,gaussian,0.7441379310344828,{}
age : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.7813793103448277,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : exercise_induced_angina : st_depression : num_major_vessels : thal,logistic,0.8179310344827586,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : exercise_induced_angina : st_depression : thal,logistic,0.7911494252873563,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : exercise_induced_angina : thal,svc,0.781264367816092,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : max_hr,svc,0.7010344827586207,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : max_hr : exercise_induced_angina,svc,0.727471264367816,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : max_hr : exercise_induced_angina : num_major_vessels,svc,0.7816091954022989,"{'C': 100, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : max_hr : exercise_induced_angina : num_major_vessels : thal,logistic,0.8349425287356322,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : max_hr : exercise_induced_angina : st_depression,svc,0.7610344827586208,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : max_hr : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.8016091954022988,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : max_hr : exercise_induced_angina : st_depression : num_major_vessels : thal,logistic,0.8313793103448276,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : max_hr : exercise_induced_angina : st_depression : thal,gaussian,0.7911494252873563,{}
age : max_hr : exercise_induced_angina : thal,svc,0.781264367816092,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : max_hr : num_major_vessels,svc,0.7545977011494253,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : max_hr : num_major_vessels : thal,logistic,0.8149425287356322,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : max_hr : st_depression,logistic,0.7405747126436782,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : max_hr : st_depression : num_major_vessels,logistic,0.777816091954023,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : max_hr : st_depression : num_major_vessels : thal,logistic,0.8181609195402298,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : max_hr : st_depression : thal,svc,0.7845977011494254,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : max_hr : thal,gaussian,0.7741379310344828,{}
age : num_major_vessels,gaussian,0.7510344827586207,{}
age : num_major_vessels : thal,logistic,0.7879310344827586,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : resting_bp,logistic,0.6025287356321839,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : resting_bp : cholesterol,gaussian,0.6059770114942529,{}
age : resting_bp : cholesterol : exercise_induced_angina,svc,0.6903448275862069,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : resting_bp : cholesterol : exercise_induced_angina : num_major_vessels,knn,0.7881609195402299,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}"
age : resting_bp : cholesterol : exercise_induced_angina : num_major_vessels : thal,gaussian,0.801609195402299,{}
age : resting_bp : cholesterol : exercise_induced_angina : st_depression,gaussian,0.7475862068965518,{}
age : resting_bp : cholesterol : exercise_induced_angina : st_depression : num_major_vessels,logistic,0.7813793103448277,"{'penalty': 'l1', 'solver': 'liblinear'}"
